study,individual,word,Ntot,N1,ND,N0,score,propscore,theta,se.theta,outfit,infit
nuisance_pairs,1,Airplane,142,115,0,27,114.81408450704225,0.8085498908946638,1.9507478441174488,0.23903583608095094,1.1185842907379728,1.1975761570359065
nuisance_pairs,2,Ambulance,151,87,0,64,86.95430463576159,0.5758563220911364,0.48622191066884074,0.201660032894381,1.3470632737786175,1.2635778253104615
nuisance_pairs,3,Automobile,156,116,0,40,115.85384615384616,0.7426528599605523,1.4725332867657714,0.21325425293038872,0.954589196279075,0.9393462847236418
nuisance_pairs,4,Baby Shoulder-Carrier,153,5,0,148,5.280392156862745,0.034512367038318593,-4.031536683579066,0.4604206797486604,4.4428332253438665,1.017054745183966
nuisance_pairs,5,Baby Stroller,151,26,0,125,26.196688741721857,0.17348800491206529,-2.222197425018647,0.2578954030819956,0.4964657817411746,0.7918508421950134
nuisance_pairs,6,Bicycle,149,65,0,84,65.03825503355705,0.4364983559299131,-0.3595122270010433,0.20637194828444982,0.7756538158026179,0.8794355699268859
nuisance_pairs,7,Bus,144,118,0,26,117.80833333333334,0.818113425925926,2.093980968897603,0.24077443948457086,0.7182827964602754,0.9289423580075614
nuisance_pairs,8,Canoe,154,42,0,112,42.13636363636363,0.27361275088547815,-1.344685631540541,0.2250297825507687,0.9054468083554079,0.941795488441298
nuisance_pairs,9,Car,147,102,0,45,101.88367346938776,0.6930862140774677,1.2353504120573433,0.21191172634614105,0.5977073505819106,0.7299738325800095
nuisance_pairs,10,Carriage,155,91,0,64,90.94774193548386,0.5867596253902184,0.511178720573247,0.20128283546094092,0.8805682901924944,0.9779599815777203
nuisance_pairs,11,Crutches,156,17,0,139,17.234615384615388,0.11047830374753453,-2.77857546019982,0.29919988317479107,1.4084513247181347,0.9481600215139109
nuisance_pairs,12,Drone,149,97,0,52,96.90939597315436,0.6503986306923112,0.978676884422882,0.2053920260804919,0.9650850208701924,1.0942882641088463
nuisance_pairs,13,Golf Cart,157,88,0,69,87.96369426751592,0.5602783074364072,0.4042657666573507,0.1973345076959756,0.8168972560762474,0.8674451283260903
nuisance_pairs,14,Helicopter,158,131,0,27,130.80253164556964,0.8278641243390484,2.136500753372557,0.23481852742184975,1.8344112471305694,1.0657964069649972
nuisance_pairs,15,Vehicle,150,111,0,39,110.85600000000001,0.73904,1.4630198467041535,0.21768854815357278,0.7673413349728009,0.9119375691363918
nuisance_pairs,16,Liferaft,152,55,0,97,55.0828947368421,0.36238746537396116,-0.7047368338273137,0.20867596432583566,0.7833908008707361,0.9327433096913151
nuisance_pairs,17,Moped,152,112,0,40,111.8578947368421,0.7359072022160664,1.480103181744156,0.21619797756432282,0.7820527932172602,0.9460167472414772
nuisance_pairs,18,Pogo Stick,155,64,0,91,64.05225806451614,0.4132403746097815,-0.43089610558935515,0.2041559005922809,1.1468915475401276,0.9744590515699231
nuisance_pairs,19,Rollerskate,157,58,0,99,58.07834394904459,0.3699257576372267,-0.6557844877222324,0.2032502169167787,1.0909948423521199,0.9512118970458383
nuisance_pairs,20,Skateboard,155,78,0,77,77.99806451612903,0.503213319458897,0.13320593167842718,0.19962680169877273,1.007850692297367,1.0544465669731118
nuisance_pairs,21,Toy Car,151,33,0,118,33.168874172185426,0.21966141835884387,-1.7427111798261783,0.23869928329165171,0.9681473413179428,1.023240913824061
nuisance_pairs,22,Truck,152,130,0,22,129.78684210526316,0.8538608033240997,2.3753875282653825,0.24922204984130253,4.676346474934048,0.9804816783793142
nuisance_pairs,23,Wheelchair,153,51,0,102,51.1,0.3339869281045752,-0.8763816047326962,0.20929938761707992,0.774498476651028,0.8667510441248011
nuisance_pairs,24,WWII Truck,151,40,0,111,40.141059602649,0.2658348318056225,-1.4275922215771288,0.22830050430328333,1.3832126761131667,1.3318940213322603
nuisance_pairs,25,Zip-line,150,68,0,82,68.028,0.45352000000000003,-0.14656317531114,0.2026540721210497,1.0459052982628132,1.0638807505658474
violation_slider,1,Airplane,157,140,0,17,139.76496815286626,0.8902227270883202,3.7199656589898358,0.3047564725525088,1.597020909241925,1.2132879814991144
violation_slider,2,Ambulance,159,50,0,109,50.11132075471698,0.31516553933784264,-1.480330849119018,0.2209700136048027,1.077075631840995,1.1040732589891058
violation_slider,3,Automobile,158,127,0,31,126.81772151898734,0.8026438070821984,2.5097911760829845,0.27635681697983944,1.068764231117709,0.8928791616733858
violation_slider,4,Baby Shoulder-Carrier,153,7,0,146,7.272549019607843,0.04753300012815584,-4.305746831489929,0.40227270214014565,0.48524629719288187,0.9778993113726766
